status,copyright,response.docs.abstract,response.docs.web_url,response.docs.snippet,response.docs.lead_paragraph,response.docs.source,response.docs.multimedia,response.docs.keywords,response.docs.pub_date,response.docs.document_type,response.docs.news_desk,response.docs.section_name,response.docs.type_of_material,response.docs._id,response.docs.word_count,response.docs.uri,response.docs.print_section,response.docs.print_page,response.docs.subsection_name,response.docs.headline.main,response.docs.headline.kicker,response.docs.headline.content_kicker,response.docs.headline.print_headline,response.docs.headline.name,response.docs.headline.seo,response.docs.headline.sub,response.docs.byline.original,response.docs.byline.person,response.docs.byline.organization,response.meta.hits,response.meta.offset,response.meta.time
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Test your vocabulary and reading comprehension with this quiz based on the Times article ""Documenting Los Angeles’s Unlikely Urban Fishermen.""",https://www.nytimes.com/interactive/2022/02/03/learning/03VocabFishingLN.html,"Test your vocabulary and reading comprehension with this quiz based on the Times article ""Documenting Los Angeles’s Unlikely Urban Fishermen.""","Test your vocabulary and reading comprehension with this quiz based on the Times article ""Documenting Los Angeles’s Unlikely Urban Fishermen.""",The New York Times,,,2022-02-03T10:02:00+0000,multimedia,The Learning Network,The Learning Network,Interactive Feature,nyt://interactive/e426c3a2-2c27-50f5-89c9-ced705ff1ba6,0,nyt://interactive/e426c3a2-2c27-50f5-89c9-ced705ff1ba6,NA,NA,NA,Vocabulary in Context: Urban Fishermen,Vocabulary,NA,NA,NA,NA,NA,Compiled by Callie Holtermann,,NA,157,0,20
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"In Pam Muñoz Ryan’s “Solimar,” Ben Okri’s “Every Leaf a Hallelujah” and Marjorie Liu’s “Wingbearer,” saving humanity can begin with a single sprout.",https://www.nytimes.com/2022/03/05/books/review/marjorie-liu-wingbearer-ben-okri-every-leaf-a-hallelujah-pam-munoz-ryan-solimar.html,"In Pam Muñoz Ryan’s “Solimar,” Ben Okri’s “Every Leaf a Hallelujah” and Marjorie Liu’s “Wingbearer,” saving humanity can begin with a single sprout.",SOLIMARThe Sword of the MonarchsBy Pam Muñoz Ryan,The New York Times,,,2022-03-05T05:34:11+0000,article,BookReview,Books,Review,nyt://article/bc45420c-3867-5c17-beff-165416d12462,1316,nyt://article/bc45420c-3867-5c17-beff-165416d12462,BR,18,Book Review,Middle Grade Fiction That Sees the Forest for the Trees,Children’s Books,NA,Seeing the Forest for the Trees,NA,NA,NA,By Maggie Stiefvater,,NA,157,0,20
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"After a forest burns, the resulting erosion can contaminate drinking water supplies for up to a decade.",https://www.nytimes.com/2021/06/24/climate/wildfire-water-quality.html,"After a forest burns, the resulting erosion can contaminate drinking water supplies for up to a decade.","BELLVUE, Colo. — Wrangling a 25-foot-long tube of straw up a steep hillside studded with charred pine trees, three volunteer workers placed it in a shallow trench that had been dug along the slope.",The New York Times,,,2021-06-24T09:00:22+0000,article,Climate,Climate,News,nyt://article/18460a77-eb77-531e-8779-271c96b21bff,1512,nyt://article/18460a77-eb77-531e-8779-271c96b21bff,A,9,NA,"Wildfires Threaten Urban Water Supplies, Long After the Flames Are Out",NA,NA,Wildfires Remain an Urban Threat Long After the Flames Are Out,NA,NA,NA,By Henry Fountain,,NA,157,0,20
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"He preserved landmarks in New York through creative zoning, involved communities in decision-making and insisted on aesthetic standards for urban design.",https://www.nytimes.com/2021/12/27/nyregion/donald-h-elliott-dead.html,"He preserved landmarks in New York through creative zoning, involved communities in decision-making and insisted on aesthetic standards for urban design.","Donald H. Elliott, who as chairman of the City Planning Commission in the late 1960s and early ’70s proposed a visionary master plan for New York, imposed innovative urban design standards for public and private projects, and enlisted local communities in government decision-making, died on Dec. 23 at his home in Brooklyn. He was 89.",The New York Times,,,2021-12-27T21:00:11+0000,article,Obits,New York,Obituary (Obit),nyt://article/a518d0ad-bebe-587c-871e-50ea5ae25107,1051,nyt://article/a518d0ad-bebe-587c-871e-50ea5ae25107,B,6,NA,"Donald H. Elliott, Innovative Urban Planner, Dies at 89",NA,NA,"Donald H. Elliott, 89, Innovative Urban Planner Who Left His Mark on New York",NA,NA,NA,By Sam Roberts,,NA,157,0,20
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"The act of fishing in Los Angeles seems almost defiant: a tranquil outdoors activity against a backdrop of concrete, litter and highway overpasses.",https://www.nytimes.com/2022/01/31/travel/urban-fishing-los-angeles.html,"The act of fishing in Los Angeles seems almost defiant: a tranquil outdoors activity against a backdrop of concrete, litter and highway overpasses.","It’s hard to imagine there was ever a time when the Los Angeles River was wild and free flowing, flanked by thick reed forests and full of steelhead trout — instead of clad in concrete and sandwiched between swollen expressways and freight-train tracks.",The New York Times,,,2022-01-31T10:00:14+0000,article,Travel,Travel,News,nyt://article/80b8da7c-727c-569e-9de0-3b6618f50467,827,nyt://article/80b8da7c-727c-569e-9de0-3b6618f50467,A,14,NA,Documenting Los Angeles’s Unlikely Urban Fishermen,The World Through a Lens,NA,Enticed by a Fishing Oasis in a Land of Concrete,NA,NA,NA,By Madeline Tolle,,NA,157,0,20
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"A program in Melbourne, Australia, that tracks every public tree — and even gives each an email address — is seen as a way to manage climate change.",https://www.nytimes.com/2022/03/28/special-series/befriending-trees-to-lower-a-citys-temperature.html,"A program in Melbourne, Australia, that tracks every public tree — and even gives each an email address — is seen as a way to manage climate change.","MELBOURNE, Australia — High in the branches of a 122-year-old Dutch Elm, two workers in a bucket crane framed by the city’s skyline used a chain saw to slice large limbs from the top of the tree.",International New York Times,,,2022-03-28T09:00:18+0000,article,SpecialSections,Special Series,News,nyt://article/ea5f53e9-32bc-5661-8eaf-916d3d5b8ae5,1327,nyt://article/ea5f53e9-32bc-5661-8eaf-916d3d5b8ae5,A,10,NA,Befriending Trees to Lower a City’s Temperature,CITIES FOR TOMORROW,NA,Befriending trees to lower a city’s temperature,NA,NA,NA,By Peter Wilson,,NA,157,0,20
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"If citizens in construction-besotted Nashville can find the political will to preserve their trees, any city can.",https://www.nytimes.com/2021/09/20/opinion/city-tree-nature.html,"If citizens in construction-besotted Nashville can find the political will to preserve their trees, any city can.","NASHVILLE — Two good things happened here recently that I didn’t see coming. First, our Metro Council passed a bill, which Mayor John Cooper signed, that increases protections for trees on city land. Second, the proposal for an outrageously terrible subdivision in Whites Creek, one of the few remaining rural tracts of Davidson County, was rejected by the Metro Planning Commission.",The New York Times,,,2021-09-20T10:20:06+0000,article,OpEd,Opinion,News,nyt://article/ffd31fac-bd8b-52d7-b3ea-059882eb6e54,1099,nyt://article/ffd31fac-bd8b-52d7-b3ea-059882eb6e54,A,23,NA,"We Need Trees, and Trees Need Us",Guest Essay,NA,"We Need Trees, and Trees Need Us",NA,NA,NA,By Margaret Renkl,,NA,157,0,20
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"Outside the capital city of Riga, local buyers are starting to make up for a dearth of foreigners, leading brokers to ‘change the profile of the buyer.’",https://www.nytimes.com/2021/09/01/realestate/house-hunting-in-latvia-a-sprawling-forest-compound-for-513000.html,"Outside the capital city of Riga, local buyers are starting to make up for a dearth of foreigners, leading brokers to ‘change the profile of the buyer.’","This 25-acre resort and private residence is situated inside Gauja National Park, about 50 miles northeast of Riga, in rural central Latvia. The property comprises a four-bedroom main residence as well as four guest cottages and outbuildings designed for community gathering and wellness, including an event space and a sauna.",The New York Times,,,2021-09-01T13:30:19+0000,article,RealEstate,Real Estate,News,nyt://article/fb0e4c0d-69b6-5853-b290-f9a61fdef7e4,1347,nyt://article/fb0e4c0d-69b6-5853-b290-f9a61fdef7e4,RE,2,NA,"House Hunting in Latvia: A Sprawling Forest Compound for $513,000",International real estate,NA,Buy a Whole Compound When Just a House Won’t Do,NA,NA,NA,By Roxana Popescu,,NA,157,0,20
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"At a time when climate change is making heat waves more frequent and more severe, trees are stationary superheroes: They can lower urban temperatures 10 lifesaving degrees, scientists say.",https://www.nytimes.com/2021/07/02/climate/trees-cities-heat-waves.html,"At a time when climate change is making heat waves more frequent and more severe, trees are stationary superheroes: They can lower urban temperatures 10 lifesaving degrees, scientists say.",DES MOINES — The trees were supposed to stay.,The New York Times,,,2021-07-02T09:00:27+0000,article,Climate,Climate,News,nyt://article/50572f86-4ffe-593f-ab27-86e0d9b72419,1650,nyt://article/50572f86-4ffe-593f-ab27-86e0d9b72419,A,10,NA,What Technology Could Reduce Heat Deaths? Trees.,NA,NA,Trees Save Lives. Yet Cities Aren’t Saving Trees.,NA,NA,NA,By Catrin Einhorn,,NA,157,0,20
OK,Copyright (c) 2022 The New York Times Company. All Rights Reserved.,"The Greenwood fire in the Superior National Forest has burned more than 25,000 acres near the Canadian border since Aug. 15.",https://www.nytimes.com/2021/08/26/us/greenwood-fire-minnesota.html,"The Greenwood fire in the Superior National Forest has burned more than 25,000 acres near the Canadian border since Aug. 15.","A fast-moving wildfire in the parched woodlands of northeastern Minnesota continued to threaten cabins, homes and recreational sites on Friday as hundreds of firefighters fought to contain it.",The New York Times,,,2021-08-26T17:47:32+0000,article,National,U.S.,News,nyt://article/5e63da73-f27c-5d99-92a3-35c58a186afe,420,nyt://article/5e63da73-f27c-5d99-92a3-35c58a186afe,NA,NA,NA,A large wildfire in drought-seared Minnesota threatens homes and recreation sites.,NA,NA,NA,NA,NA,NA,By Johnny Diaz,,NA,157,0,20
